country,lead_time_group,n_obs,variable,rmse
Aruba,19-24h,358,relative_humidity_2m,9.898930589495132
Aruba,19-24h,358,dew_point_2m,1.9183180482073905
Aruba,19-24h,358,apparent_temperature,0.9751092189220733
Aruba,19-24h,358,precipitation,0.28432022233182014
Aruba,19-24h,358,rain,0.33005840011433357
Aruba,19-24h,358,showers,0.06072191398489368
Aruba,19-24h,358,snowfall,0
Aruba,19-24h,358,snow_depth,0
Aruba,19-24h,358,weather_code,19.836623203351216
Aruba,19-24h,358,pressure_msl,0.36125170351998437
Aruba,19-24h,358,surface_pressure,0.3612517035199849
Aruba,19-24h,358,cloud_cover,43.24291526562925
Aruba,19-24h,358,wind_speed_10m,2.3017603173786836
Aruba,19-24h,358,wind_gusts_10m,15.268115899759591
Aruba,7-12h,1478,temperature_2m,1.1650352663562835
Aruba,7-12h,1478,relative_humidity_2m,11.31843192398408
Aruba,7-12h,1478,dew_point_2m,1.9265223844975772
Aruba,7-12h,1478,apparent_temperature,1.0632373267481385
Aruba,7-12h,1478,precipitation,0.32001628003242527
Aruba,7-12h,1478,rain,0.31916670935837316
Aruba,7-12h,1478,showers,0.15715372614117087
Aruba,7-12h,1478,snowfall,0
Aruba,7-12h,1478,snow_depth,0
Aruba,7-12h,1478,weather_code,31.781348731589688
Aruba,7-12h,1478,pressure_msl,0.35350554521913463
Aruba,7-12h,1478,surface_pressure,0.3533332482276674
Aruba,7-12h,1478,cloud_cover,37.164266161143914
Aruba,7-12h,1478,wind_speed_10m,2.7138346507298543
Aruba,7-12h,1478,wind_gusts_10m,15.246671368576823
Australia,0h,1860,temperature_2m,1.8222489944706959
Australia,0h,1860,relative_humidity_2m,9.84083002006797
Australia,0h,1860,dew_point_2m,2.2074190641405593
Australia,0h,1860,apparent_temperature,1.8940115020486208
Australia,0h,1860,precipitation,0.8142481194328912
Australia,0h,1860,rain,0.8225321512165626
Australia,0h,1860,showers,0.3188352458221873
Australia,0h,1860,snowfall,0
Australia,0h,1860,snow_depth,0
Australia,0h,1860,weather_code,18.71765310166872
Australia,0h,1860,pressure_msl,0.549545266561364
Australia,0h,1860,surface_pressure,0.49783401820026085
Australia,0h,1860,cloud_cover,32.09644404650003
Australia,0h,1860,wind_speed_10m,4.549497195425314
Australia,0h,1860,wind_gusts_10m,7.906064774276376
Australia,1-6h,10436,temperature_2m,1.9028850823532124
Australia,1-6h,10436,relative_humidity_2m,10.239504437749973
Australia,1-6h,10436,dew_point_2m,2.255920620482462
Australia,1-6h,10436,apparent_temperature,1.9212425310631565
Australia,1-6h,10436,precipitation,0.5683639347147215
Australia,1-6h,10436,rain,0.5797363961315666
Australia,1-6h,10436,showers,0.2844642203848973
Australia,1-6h,10436,snowfall,0
Australia,1-6h,10436,snow_depth,0
Australia,1-6h,10436,weather_code,18.543459979484197
Australia,1-6h,10436,pressure_msl,0.5656346052952838
Australia,1-6h,10436,surface_pressure,0.5121296070146588
Australia,1-6h,10436,cloud_cover,32.238513780777915
Australia,1-6h,10436,wind_speed_10m,4.634168473376
Australia,1-6h,10436,wind_gusts_10m,8.308133509221701
Australia,13-18h,4756,temperature_2m,1.512350333877753
Australia,13-18h,4756,relative_humidity_2m,8.426349397667577
Australia,13-18h,4756,dew_point_2m,1.901025574212489
Australia,13-18h,4756,apparent_temperature,1.6914083093580679
Australia,13-18h,4756,precipitation,0.5473385410816657
Australia,13-18h,4756,rain,0.5953527623942768
Australia,13-18h,4756,showers,0.20721835080824888
Australia,13-18h,4756,snowfall,0
Australia,13-18h,4756,snow_depth,0
Australia,13-18h,4756,weather_code,18.183463684236
Australia,13-18h,4756,pressure_msl,0.5899173866980683
Australia,13-18h,4756,surface_pressure,0.5366273207850601
Australia,13-18h,4756,cloud_cover,34.06531597876922
Australia,13-18h,4756,wind_speed_10m,4.369550192115082
Australia,13-18h,4756,wind_gusts_10m,7.942871345707793
Australia,19-24h,1762,temperature_2m,1.4498737664727974
Australia,19-24h,1762,relative_humidity_2m,8.859285899638433
Australia,19-24h,1762,dew_point_2m,1.9640555461651912
Australia,19-24h,1762,apparent_temperature,1.542765328271211
Australia,19-24h,1762,precipitation,0.42950225924015234
Australia,19-24h,1762,rain,0.40627875782261713
Australia,19-24h,1762,showers,0.18575856078735342
Australia,19-24h,1762,snowfall,0
Australia,19-24h,1762,snow_depth,0
Australia,19-24h,1762,weather_code,18.7916468993422
Australia,19-24h,1762,pressure_msl,0.6311170573420625
Australia,19-24h,1762,surface_pressure,0.6208357298071852
Australia,19-24h,1762,cloud_cover,33.2037188677945
Australia,19-24h,1762,wind_speed_10m,4.327447179566837
Australia,19-24h,1762,wind_gusts_10m,7.746998246986991
Australia,7-12h,7390,temperature_2m,1.6334808877225357
Australia,7-12h,7390,relative_humidity_2m,9.426734791152949
Australia,7-12h,7390,dew_point_2m,2.0407075108379096
Australia,7-12h,7390,apparent_temperature,1.718047952941426
Australia,7-12h,7390,precipitation,0.580128164645905
Australia,7-12h,7390,rain,0.61463874336425
Australia,7-12h,7390,showers,0.2753427682982199
Australia,7-12h,7390,snowfall,0
Australia,7-12h,7390,snow_depth,0
Australia,7-12h,7390,weather_code,17.90780780872434
Australia,7-12h,7390,pressure_msl,0.5818988096120101
Australia,7-12h,7390,surface_pressure,0.5383606650595452
Australia,7-12h,7390,cloud_cover,33.30866836669776
Australia,7-12h,7390,wind_speed_10m,4.603414629564827
Australia,7-12h,7390,wind_gusts_10m,8.228446976688444
Austria,0h,744,temperature_2m,1.4918326032531373
Austria,0h,744,relative_humidity_2m,8.318750681636384
Austria,0h,744,dew_point_2m,1.5084083329538893
Austria,0h,744,apparent_temperature,1.7334548137744605
Austria,0h,744,precipitation,0.17172433523478248
Austria,0h,744,rain,0.16379242042673192
Austria,0h,744,showers,0
Austria,0h,744,snowfall,0.02352075267612865
Austria,0h,744,snow_depth,0.004751909633114914
Austria,0h,744,weather_code,27.06369428564949
Austria,0h,744,pressure_msl,0.45285830583229425
Austria,0h,744,surface_pressure,0.46240372435900307
Austria,0h,744,cloud_cover,23.795556194879243
Austria,0h,744,wind_speed_10m,2.873198360225813
Austria,0h,744,wind_gusts_10m,5.396494282183055
Austria,1-6h,4130,temperature_2m,1.5735956881710462
Austria,1-6h,4130,relative_humidity_2m,8.986915428021542
Austria,1-6h,4130,dew_point_2m,1.5803438495494315
Austria,1-6h,4130,apparent_temperature,1.8167288273050712
Austria,1-6h,4130,precipitation,0.17367973085657296
Austria,1-6h,4130,rain,0.16457443836365312
Austria,1-6h,4130,showers,0
Austria,1-6h,4130,snowfall,0.030731202053629746
Austria,1-6h,4130,snow_depth,0.004881154152407417
Austria,1-6h,4130,weather_code,27.390866436910112
