country,city,lead_time_group,n_obs,variable,rmse
Australia,brisbane,0h,372,dew_point_2m,1.3633253148014577
Australia,brisbane,0h,372,apparent_temperature,2.001061546236886
Australia,brisbane,0h,372,precipitation,1.3929932187655767
Australia,brisbane,0h,372,rain,1.3955382050379095
Australia,brisbane,0h,372,showers,0.6779158446836291
Australia,brisbane,0h,372,snowfall,0
Australia,brisbane,0h,372,snow_depth,0
Australia,brisbane,0h,372,weather_code,24.0949064353658
Australia,brisbane,0h,372,pressure_msl,0.5013959009229759
Australia,brisbane,0h,372,surface_pressure,0.49892357248660324
Australia,brisbane,0h,372,cloud_cover,33.77168757584421
Australia,brisbane,0h,372,wind_speed_10m,3.36332209041462
Australia,brisbane,0h,372,wind_gusts_10m,6.5205836205579155
Australia,brisbane,1-6h,2110,temperature_2m,1.5483426393760371
Australia,brisbane,1-6h,2110,relative_humidity_2m,7.741437710135322
Australia,brisbane,1-6h,2110,dew_point_2m,1.2552335935624026
Australia,brisbane,1-6h,2110,apparent_temperature,1.9187377367346659
Australia,brisbane,1-6h,2110,precipitation,1.0189623939035108
Australia,brisbane,1-6h,2110,rain,1.0333995799994926
Australia,brisbane,1-6h,2110,showers,0.5644021288347302
Australia,brisbane,1-6h,2110,snowfall,0
Australia,brisbane,1-6h,2110,snow_depth,0
Australia,brisbane,1-6h,2110,weather_code,23.84877315592259
Australia,brisbane,1-6h,2110,pressure_msl,0.471027916983908
Australia,brisbane,1-6h,2110,surface_pressure,0.4664680236217817
Australia,brisbane,1-6h,2110,cloud_cover,33.14144610962181
Australia,brisbane,1-6h,2110,wind_speed_10m,3.2893465837256035
Australia,brisbane,1-6h,2110,wind_gusts_10m,6.7695288851598985
Australia,brisbane,13-18h,976,temperature_2m,1.4781953441307532
Australia,brisbane,13-18h,976,relative_humidity_2m,7.386296571975723
Australia,brisbane,13-18h,976,dew_point_2m,1.2744333359846063
Australia,brisbane,13-18h,976,apparent_temperature,2.004344666214772
Australia,brisbane,13-18h,976,precipitation,0.8083833289704688
Australia,brisbane,13-18h,976,rain,0.9383670853590539
Australia,brisbane,13-18h,976,showers,0.38070792556783467
Australia,brisbane,13-18h,976,snowfall,0
Australia,brisbane,13-18h,976,snow_depth,0
Australia,brisbane,13-18h,976,weather_code,22.547718069994012
Australia,brisbane,13-18h,976,pressure_msl,0.4747734576253939
Australia,brisbane,13-18h,976,surface_pressure,0.47050287015030456
Australia,brisbane,13-18h,976,cloud_cover,35.73886390811301
Australia,brisbane,13-18h,976,wind_speed_10m,3.461370547279469
Australia,brisbane,13-18h,976,wind_gusts_10m,7.1872981083548115
Australia,brisbane,19-24h,358,temperature_2m,1.2082583615090046
Australia,brisbane,19-24h,358,relative_humidity_2m,8.708500951760621
Australia,brisbane,19-24h,358,dew_point_2m,1.4375063759878028
Australia,brisbane,19-24h,358,apparent_temperature,1.3441368645396663
Australia,brisbane,19-24h,358,precipitation,0.4911507408925794
Australia,brisbane,19-24h,358,rain,0.4873827032644273
Australia,brisbane,19-24h,358,showers,0.06072191398489368
Australia,brisbane,19-24h,358,snowfall,0
Australia,brisbane,19-24h,358,snow_depth,0
Australia,brisbane,19-24h,358,weather_code,21.753699999934515
Australia,brisbane,19-24h,358,pressure_msl,0.5218681526162345
Australia,brisbane,19-24h,358,surface_pressure,0.5242179597016334
Australia,brisbane,19-24h,358,cloud_cover,36.068758049904766
Australia,brisbane,19-24h,358,wind_speed_10m,3.034844201867526
Australia,brisbane,19-24h,358,wind_gusts_10m,6.443692511623871
Australia,brisbane,7-12h,1478,temperature_2m,1.4256114705461087
Australia,brisbane,7-12h,1478,relative_humidity_2m,6.872411556025963
Australia,brisbane,7-12h,1478,dew_point_2m,1.0634218519396146
Australia,brisbane,7-12h,1478,apparent_temperature,1.9359255792627574
Australia,brisbane,7-12h,1478,precipitation,1.0361088991411893
Australia,brisbane,7-12h,1478,rain,1.1199507045018582
Australia,brisbane,7-12h,1478,showers,0.5196315182412069
Australia,brisbane,7-12h,1478,snowfall,0
Australia,brisbane,7-12h,1478,snow_depth,0
Australia,brisbane,7-12h,1478,weather_code,22.306816133373204
Australia,brisbane,7-12h,1478,pressure_msl,0.5307461492711653
Australia,brisbane,7-12h,1478,surface_pressure,0.5235328103550608
Australia,brisbane,7-12h,1478,cloud_cover,34.045420588651666
