"date_and_time","city","previous_lo","previous_hi","previous_precip","today_lo","today_hi","today_outlook","tomorrow_lo","tomorrow_hi","tomorrow_outlook","email_period"
2025-06-11 20:50:00,"ST STE MARIE",46,69,0,44,62,"SUNNY",44,57,"SHWRS","afternoon"
2025-06-11 20:50:00,"SAVANNAH",70,90,0,73,89,"TSTRMS",74,89,"SHWRS","afternoon"
2025-06-11 20:50:00,"SEATTLE",51,69,0,51,69,"MOCLDY",51,68,"MOCLDY","afternoon"
2025-06-11 20:50:00,"SHREVEPORT",72,90,0,69,84,"SHWRS",73,88,"SHWRS","afternoon"
2025-06-11 20:50:00,"SIOUX CITY",57,93,0,63,90,"PTCLDY",65,88,"TSTRMS","afternoon"
2025-06-11 20:50:00,"SIOUX FALLS",56,82,0.06,59,85,"TSTRMS",65,83,"TSTRMS","afternoon"
2025-06-11 20:50:00,"SOUTH BEND",59,87,0,64,86,"TSTRMS",64,81,"SHWRS","afternoon"
2025-06-11 20:50:00,"SPOKANE",61,84,0,54,81,"PTCLDY",52,78,"PTCLDY","afternoon"
2025-06-11 20:50:00,"SPRINGFIELD IL",58,87,0,66,87,"MOCLDY",69,80,"SHWRS","afternoon"
2025-06-11 20:50:00,"SPRINGFIELD MO",61,85,0,65,76,"SHWRS",67,78,"SHWRS","afternoon"
2025-06-11 20:50:00,"SYRACUSE",57,80,0,62,73,"PTCLDY",52,73,"PTCLDY","afternoon"
2025-06-11 20:50:00,"TALLAHASSEE",71,91,0,72,91,"TSTRMS",73,89,"TSTRMS","afternoon"
2025-06-11 20:50:00,"TAMPA",78,94,1.46,77,92,"SHWRS",78,92,"SHWRS","afternoon"
2025-06-11 20:50:00,"TOLEDO",56,91,0,64,84,"PTCLDY",62,82,"SHWRS","afternoon"
2025-06-11 20:50:00,"TOPEKA",62,90,0,64,83,"MOCLDY",66,85,"MOCLDY","afternoon"
2025-06-11 20:50:00,"TUCSON",74,104,0,71,104,"VRYHOT",71,105,"VRYHOT","afternoon"
2025-06-11 20:50:00,"TULSA",71,86,0,67,78,"SHWRS",67,85,"TSTRMS","afternoon"
2025-06-11 20:50:00,"TUPELO",64,88,0,68,87,"TSTRMS",72,89,"TSTRMS","afternoon"
2025-06-11 20:50:00,"WACO",71,84,0.53,69,83,"TSTRMS",71,87,"SHWRS","afternoon"
2025-06-11 20:50:00,"WASHINGTON DC",66,85,0,70,92,"SUNNY",74,90,"TSTRMS","afternoon"
2025-06-11 20:50:00,"W PALM BEACH",78,90,0,79,88,"TSTRMS",80,90,"TSTRMS","afternoon"
2025-06-11 20:50:00,"WICHITA",65,85,0,66,81,"MOCLDY",67,88,"MOCLDY","afternoon"
2025-06-11 20:50:00,"WICHITA FALLS",67,82,0,68,85,"MOCLDY",69,94,"PTCLDY","afternoon"
2025-06-11 20:50:00,"WILKES BARRE",52,79,0,63,85,"SUNNY",59,82,"SHWRS","afternoon"
2025-06-11 20:50:00,"WILMINGTON DE",63,85,0,66,90,"PTCLDY",69,87,"SHWRS","afternoon"
2025-06-11 20:50:00,"YAKIMA",62,93,0,57,86,"PTCLDY",51,81,"SUNNY","afternoon"
2025-06-11 20:50:00,"YOUNGSTOWN",53,80,0,62,83,"PTCLDY",60,82,"SHWRS","afternoon"
2025-06-11 20:50:00,"YUMA",77,108,0,75,106,"VRYHOT",75,105,"VRYHOT","afternoon"
2024-03-20 08:50:00,"ABILENE TX",49,68,0,55,74,"MOCLDY",49,74,"SHWRS","afternoon"
2024-03-20 08:50:00,"AKRON CANTON",30,44,0,21,40,"SNOSHW",22,35,"SUNNY","afternoon"
2024-03-20 08:50:00,"ALBANY NY",34,44,NA,23,48,"SHWRS",21,35,"WINDY","afternoon"
2024-03-20 08:50:00,"ALBUQUERQUE",39,60,0,38,61,"PTCLDY",43,67,"SUNNY","afternoon"
2024-03-20 08:50:00,"ALLENTOWN",30,44,0,26,54,"SHWRS",24,42,"SUNNY","afternoon"
2024-03-20 08:50:00,"AMARILLO",39,70,0,43,73,"PTCLDY",41,67,"SHWRS","afternoon"
2024-03-20 08:50:00,"ANCHORAGE",23,39,0,28,37,"FOG",29,37,"MOCLDY","afternoon"
2024-03-20 08:50:00,"ASHEVILLE",33,60,0,35,66,"SUNNY",41,65,"SUNNY","afternoon"
2024-03-20 08:50:00,"ATLANTA",42,60,0,47,71,"PTCLDY",53,74,"PTCLDY","afternoon"
2024-03-20 08:50:00,"ATLANTIC CITY",43,49,0,28,62,"PTCLDY",27,45,"SUNNY","afternoon"
2024-03-20 08:50:00,"AUSTIN",49,66,0,58,68,"MOCLDY",55,72,"SHWRS","afternoon"
2024-03-20 08:50:00,"BALTIMORE",40,52,0,31,64,"PTCLDY",29,47,"SUNNY","afternoon"
2024-03-20 08:50:00,"BATON ROUGE",43,66,0,48,70,"PTCLDY",57,69,"SHWRS","afternoon"
2024-03-20 08:50:00,"BILLINGS",28,66,0,30,62,"PTCLDY",27,57,"RNSNOW","afternoon"
2024-03-20 08:50:00,"BIRMINGHAM",37,60,0,46,73,"PTCLDY",53,76,"MOCLDY","afternoon"
2024-03-20 08:50:00,"BISMARCK",17,51,0,19,31,"SNOW",14,29,"SNOW","afternoon"
2024-03-20 08:50:00,"BOISE",44,71,0,45,71,"SUNNY",43,64,"PTCLDY","afternoon"
2024-03-20 08:50:00,"BOSTON",36,47,0,28,51,"SHWRS",25,40,"WINDY","afternoon"
2024-03-20 08:50:00,"BRIDGEPORT",39,48,0,27,54,"SHWRS",25,42,"SUNNY","afternoon"
2024-03-20 08:50:00,"BROWNSVILLE",65,69,0,70,74,"SHWRS",66,84,"TSTRMS","afternoon"
2024-03-20 08:50:00,"BUFFALO",31,34,0.17,21,34,"SNOSHW",18,30,"MOCLDY","afternoon"
2024-03-20 08:50:00,"BURLINGTON VT",34,38,0,22,43,"RNSNOW",17,31,"SNOSHW","afternoon"
2024-03-20 08:50:00,"CARIBOU",22,36,0.01,29,40,"SNOSHW",15,35,"SNOW","afternoon"
2024-03-20 08:50:00,"CASPER",19,62,0,33,60,"SUNNY",28,62,"WINDY","afternoon"
2024-03-20 08:50:00,"CHARLESTON SC",47,63,0,51,74,"SUNNY",54,73,"SUNNY","afternoon"
2024-03-20 08:50:00,"CHARLESTON WV",46,54,0,25,60,"PTCLDY",31,48,"SUNNY","afternoon"
2024-03-20 08:50:00,"CHARLOTTE",39,59,0,42,71,"SUNNY",45,66,"SUNNY","afternoon"
2024-03-20 08:50:00,"CHATTANOOGA",40,59,0,42,72,"SUNNY",49,70,"PTCLDY","afternoon"
2024-03-20 08:50:00,"CHEYENNE",32,61,0,33,57,"SUNNY",31,62,"WINDY","afternoon"
2024-03-20 08:50:00,"CHICAGO",34,58,0,23,40,"SUNNY",32,40,"MOCLDY","afternoon"
2024-03-20 08:50:00,"CINCINNATI",43,52,0,25,53,"MOCLDY",32,46,"PTCLDY","afternoon"
2024-03-20 08:50:00,"CLEVELAND",38,46,0,23,38,"SNOSHW",22,34,"PTCLDY","afternoon"
2024-03-20 08:50:00,"COLORADO SPGS",34,62,0,35,59,"SUNNY",36,64,"SUNNY","afternoon"
2024-03-20 08:50:00,"COLUMBIA SC",41,61,0,46,73,"SUNNY",48,72,"SUNNY","afternoon"
2024-03-20 08:50:00,"COLUMBUS GA",37,63,0,46,71,"PTCLDY",55,77,"PTCLDY","afternoon"
2024-03-20 08:50:00,"COLUMBUS OH",41,50,0,23,48,"SUNNY",29,41,"SUNNY","afternoon"
2024-03-20 08:50:00,"CONCORD NH",27,44,0,23,52,"SHWRS",17,37,"PTCLDY","afternoon"
